Genes,Result
ENSMUSG00000014813,14
ENSMUSG00000035373,14
ENSMUSG00000061878,14
ENSMUSG00000096942,14
ENSMUSG00000055980,15
ENSMUSG00000041777,15
ENSMUSG00000092201,15
ENSMUSG00000035967,15
ENSMUSG00000027875,15
ENSMUSG00000054958,15
ENSMUSG00000029022,15
ENSMUSG00000039759,15
ENSMUSG00000097415,15
ENSMUSG00000000031,15
ENSMUSG00000058297,15
ENSMUSG00000041515,15
ENSMUSG00000037112,15
ENSMUSG00000020441,15
ENSMUSG00000040938,15
ENSMUSG00000015396,15
ENSMUSG00000022772,15
ENSMUSG00000102918,15
ENSMUSG00000001750,15
ENSMUSG00000032487,16
ENSMUSG00000039997,16
ENSMUSG00000055897,16
ENSMUSG00000002265,16
ENSMUSG00000012640,16
ENSMUSG00000040624,16
ENSMUSG00000032253,16
ENSMUSG00000001542,16
ENSMUSG00000034271,16
ENSMUSG00000022346,16
ENSMUSG00000043991,16
ENSMUSG00000039529,16
ENSMUSG00000024754,16
ENSMUSG00000059149,17
ENSMUSG00000016458,17
ENSMUSG00000025270,17
ENSMUSG00000006445,17
ENSMUSG00000029298,17
ENSMUSG00000053964,17
ENSMUSG00000020091,17
ENSMUSG00000020205,17
ENSMUSG00000025408,17
ENSMUSG00000021411,17
ENSMUSG00000041773,17
ENSMUSG00000084883,17
ENSMUSG00000051439,17
ENSMUSG00000102869,18
ENSMUSG00000054659,18
ENSMUSG00000001333,18
ENSMUSG00000097815,18
ENSMUSG00000078816,18
ENSMUSG00000045875,18
ENSMUSG00000044037,18
ENSMUSG00000061086,18
ENSMUSG00000022383,18
ENSMUSG00000005580,18
ENSMUSG00000024222,18
ENSMUSG00000064344,18
ENSMUSG00000026110,19
ENSMUSG00000087006,19
ENSMUSG00000028214,19
ENSMUSG00000028680,19
ENSMUSG00000028862,19
ENSMUSG00000079523,19
ENSMUSG00000060477,19
ENSMUSG00000030878,19
ENSMUSG00000015312,19
ENSMUSG00000076281,19
ENSMUSG00000032265,19
ENSMUSG00000049892,19
ENSMUSG00000035385,19
ENSMUSG00000088609,19
ENSMUSG00000034675,19
ENSMUSG00000035356,19
ENSMUSG00000027238,20
ENSMUSG00000028328,20
ENSMUSG00000028967,20
ENSMUSG00000018143,20
ENSMUSG00000090698,20
ENSMUSG00000019970,20
ENSMUSG00000020893,20
ENSMUSG00000018476,20
ENSMUSG00000022893,20
ENSMUSG00000022951,20
ENSMUSG00000054640,20
ENSMUSG00000025006,20
ENSMUSG00000024978,20
ENSMUSG00000020423,21
ENSMUSG00000040152,21
ENSMUSG00000037411,21
ENSMUSG00000019577,21
ENSMUSG00000038587,21
ENSMUSG00000019787,21
ENSMUSG00000020044,21
ENSMUSG00000052837,21
ENSMUSG00000031972,21
ENSMUSG00000079243,21
ENSMUSG00000035202,21
ENSMUSG00000021313,21
ENSMUSG00000044951,21
ENSMUSG00000023034,21
ENSMUSG00000076258,21
ENSMUSG00000024042,21
ENSMUSG00000038418,21
ENSMUSG00000099470,22
ENSMUSG00000083391,22
ENSMUSG00000083619,22
ENSMUSG00000104851,22
ENSMUSG00000042985,22
ENSMUSG00000090795,22
ENSMUSG00000110079,22
ENSMUSG00000059835,22
ENSMUSG00000090500,22
ENSMUSG00000095193,22
ENSMUSG00000099703,22
ENSMUSG00000100120,23
ENSMUSG00000061852,23
ENSMUSG00000102055,23
ENSMUSG00000087106,23
ENSMUSG00000080968,23
ENSMUSG00000103204,23
ENSMUSG00000048485,23
ENSMUSG00000086949,23
ENSMUSG00000106691,23
ENSMUSG00000097464,23
ENSMUSG00000092625,23
ENSMUSG00000103931,23
ENSMUSG00000081873,23
ENSMUSG00000111526,23
ENSMUSG00000110409,23
ENSMUSG00000110457,23
ENSMUSG00000039438,23
ENSMUSG00000057818,23
ENSMUSG00000097567,23
ENSMUSG00000043415,24
ENSMUSG00000092397,24
ENSMUSG00000056501,24
ENSMUSG00000045092,24
ENSMUSG00000028341,24
ENSMUSG00000029135,24
ENSMUSG00000030103,24
ENSMUSG00000044786,24
ENSMUSG00000020108,24
ENSMUSG00000035621,24
ENSMUSG00000020023,24
ENSMUSG00000038894,24
ENSMUSG00000034911,24
ENSMUSG00000031799,24
ENSMUSG00000053560,24
ENSMUSG00000031785,24
ENSMUSG00000021823,24
ENSMUSG00000097652,24
ENSMUSG00000020889,24
ENSMUSG00000074794,24
ENSMUSG00000010608,24
ENSMUSG00000021250,24
ENSMUSG00000042895,24
ENSMUSG00000041378,24
ENSMUSG00000026670,25
ENSMUSG00000027397,25
ENSMUSG00000062127,25
ENSMUSG00000041313,25
ENSMUSG00000061436,25
ENSMUSG00000003545,25
ENSMUSG00000090958,25
ENSMUSG00000032860,25
ENSMUSG00000033624,25
ENSMUSG00000022018,25
ENSMUSG00000050721,25
ENSMUSG00000020863,25
ENSMUSG00000051335,25
ENSMUSG00000022797,25
ENSMUSG00000039220,25
ENSMUSG00000024427,25
ENSMUSG00000026034,26
ENSMUSG00000026628,26
ENSMUSG00000032942,26
ENSMUSG00000051495,26
ENSMUSG00000032578,26
ENSMUSG00000032515,26
ENSMUSG00000042622,26
ENSMUSG00000023067,26
ENSMUSG00000097971,26
ENSMUSG00000026121,27
ENSMUSG00000033124,27
ENSMUSG00000017418,27
ENSMUSG00000026819,27
ENSMUSG00000017009,27
ENSMUSG00000030089,27
ENSMUSG00000074221,27
ENSMUSG00000031762,27
ENSMUSG00000066687,27
ENSMUSG00000034684,27
ENSMUSG00000001027,27
ENSMUSG00000032501,27
ENSMUSG00000022602,27
ENSMUSG00000022500,27
ENSMUSG00000037447,28
ENSMUSG00000050592,28
ENSMUSG00000023087,28
ENSMUSG00000100801,28
ENSMUSG00000039899,28
ENSMUSG00000029380,28
ENSMUSG00000030022,28
ENSMUSG00000056234,28
ENSMUSG00000022096,28
ENSMUSG00000022122,28
ENSMUSG00000020363,28
ENSMUSG00000001983,28
ENSMUSG00000021495,28
ENSMUSG00000044258,28
ENSMUSG00000057880,28
ENSMUSG00000071637,28
ENSMUSG00000024299,28
ENSMUSG00000034647,28
ENSMUSG00000024561,28
ENSMUSG00000058603,29
ENSMUSG00000001131,29
ENSMUSG00000057036,29
ENSMUSG00000109539,29
ENSMUSG00000109005,29
ENSMUSG00000042812,29
ENSMUSG00000105962,29
ENSMUSG00000058755,29
ENSMUSG00000086591,29
ENSMUSG00000065126,29
ENSMUSG00000058258,29
ENSMUSG00000086743,29
ENSMUSG00000043483,29
ENSMUSG00000051486,29
ENSMUSG00000064281,30
ENSMUSG00000094122,30
ENSMUSG00000085791,30
ENSMUSG00000083311,30
ENSMUSG00000027996,30
ENSMUSG00000096544,30
ENSMUSG00000105388,30
ENSMUSG00000080932,30
ENSMUSG00000083121,30
ENSMUSG00000060019,30
ENSMUSG00000078965,30
ENSMUSG00000082171,30
ENSMUSG00000059751,30
ENSMUSG00000076137,30
ENSMUSG00000089764,30
ENSMUSG00000091697,30
ENSMUSG00000082107,30
ENSMUSG00000053475,31
ENSMUSG00000075014,31
ENSMUSG00000056054,31
ENSMUSG00000028671,31
ENSMUSG00000074158,31
ENSMUSG00000035713,31
ENSMUSG00000019890,31
ENSMUSG00000074194,31
ENSMUSG00000031722,31
ENSMUSG00000065037,31
ENSMUSG00000035711,31
ENSMUSG00000048004,31
ENSMUSG00000062760,31
ENSMUSG00000090673,31
ENSMUSG00000026358,32
ENSMUSG00000032715,32
ENSMUSG00000027513,32
ENSMUSG00000068745,32
ENSMUSG00000050931,32
ENSMUSG00000110424,32
ENSMUSG00000025479,32
ENSMUSG00000003227,32
ENSMUSG00000090778,32
ENSMUSG00000049532,32
ENSMUSG00000078153,32
ENSMUSG00000103789,32
ENSMUSG00000021678,32
ENSMUSG00000025450,32
ENSMUSG00000073422,32
ENSMUSG00000091971,32
ENSMUSG00000090399,33
ENSMUSG00000079497,33
ENSMUSG00000101860,33
ENSMUSG00000028463,33
ENSMUSG00000028364,33
ENSMUSG00000105112,33
ENSMUSG00000072770,33
ENSMUSG00000051515,33
ENSMUSG00000055323,33
ENSMUSG00000111767,33
ENSMUSG00000032691,33
ENSMUSG00000002997,33
ENSMUSG00000052673,33
ENSMUSG00000022510,33
ENSMUSG00000024186,33
ENSMUSG00000101599,34
ENSMUSG00000102856,34
ENSMUSG00000104394,34
ENSMUSG00000086430,34
ENSMUSG00000075391,34
ENSMUSG00000081344,34
ENSMUSG00000084846,34
ENSMUSG00000028438,34
ENSMUSG00000029720,34
ENSMUSG00000108332,34
ENSMUSG00000109419,34
ENSMUSG00000013155,34
ENSMUSG00000020431,34
ENSMUSG00000019102,34
ENSMUSG00000047497,34
ENSMUSG00000022621,34
ENSMUSG00000052188,34
ENSMUSG00000086370,35
ENSMUSG00000104871,35
ENSMUSG00000069682,35
ENSMUSG00000089855,35
ENSMUSG00000109697,35
ENSMUSG00000091509,35
ENSMUSG00000050621,35
ENSMUSG00000080848,35
ENSMUSG00000061330,35
ENSMUSG00000044712,35
ENSMUSG00000102562,35
ENSMUSG00000002617,35
ENSMUSG00000006403,36
ENSMUSG00000005233,36
ENSMUSG00000033268,36
ENSMUSG00000027368,36
ENSMUSG00000106073,36
ENSMUSG00000028689,36
ENSMUSG00000025746,36
ENSMUSG00000105762,36
ENSMUSG00000072647,36
ENSMUSG00000105434,36
ENSMUSG00000087502,36
ENSMUSG00000018500,36
ENSMUSG00000085609,36
ENSMUSG00000047798,36
ENSMUSG00000085336,36
ENSMUSG00000021070,36
ENSMUSG00000022622,36
ENSMUSG00000090291,36
ENSMUSG00000099624,37
ENSMUSG00000100658,37
ENSMUSG00000102805,37
ENSMUSG00000104737,37
ENSMUSG00000090053,37
ENSMUSG00000097145,37
ENSMUSG00000087541,37
ENSMUSG00000025889,37
ENSMUSG00000109998,37
ENSMUSG00000110060,37
ENSMUSG00000043366,37
ENSMUSG00000038994,37
ENSMUSG00000038692,37
ENSMUSG00000020961,37
ENSMUSG00000022518,37
ENSMUSG00000024388,37
ENSMUSG00000043015,38
ENSMUSG00000040485,38
ENSMUSG00000103983,38
ENSMUSG00000027398,38
ENSMUSG00000033777,38
ENSMUSG00000036334,38
ENSMUSG00000028125,38
ENSMUSG00000028488,38
ENSMUSG00000070691,38
ENSMUSG00000007207,38
ENSMUSG00000055978,38
ENSMUSG00000108494,38
ENSMUSG00000031970,38
ENSMUSG00000089704,38
ENSMUSG00000022199,38
ENSMUSG00000111390,38
ENSMUSG00000097242,38
ENSMUSG00000060716,38
ENSMUSG00000048856,38
ENSMUSG00000083674,39
ENSMUSG00000073125,39
ENSMUSG00000042388,39
ENSMUSG00000110275,39
ENSMUSG00000025395,39
ENSMUSG00000071078,39
ENSMUSG00000022070,39
ENSMUSG00000061718,39
ENSMUSG00000058290,39
ENSMUSG00000022947,39
ENSMUSG00000024136,39
ENSMUSG00000036322,39
ENSMUSG00000003279,39
ENSMUSG00000084839,40
ENSMUSG00000037259,40
ENSMUSG00000085741,40
ENSMUSG00000090210,40
ENSMUSG00000105677,40
ENSMUSG00000037922,40
ENSMUSG00000034035,40
ENSMUSG00000086291,40
ENSMUSG00000074282,40
ENSMUSG00000078787,40
ENSMUSG00000078768,40
ENSMUSG00000036882,40
ENSMUSG00000109498,40
ENSMUSG00000025507,40
ENSMUSG00000086773,40
ENSMUSG00000097472,40
ENSMUSG00000044461,40
ENSMUSG00000032344,40
ENSMUSG00000051606,40
ENSMUSG00000047227,40
ENSMUSG00000094910,40
ENSMUSG00000075122,40
ENSMUSG00000049929,41
ENSMUSG00000047757,41
ENSMUSG00000105572,41
ENSMUSG00000092118,41
ENSMUSG00000098132,41
ENSMUSG00000085282,41
ENSMUSG00000093979,41
ENSMUSG00000090626,41
ENSMUSG00000083022,41
ENSMUSG00000069899,41
ENSMUSG00000081769,41
ENSMUSG00000083899,41
ENSMUSG00000018012,41
ENSMUSG00000022676,41
ENSMUSG00000026581,42
ENSMUSG00000031397,42
ENSMUSG00000085715,42
ENSMUSG00000086503,42
ENSMUSG00000041020,42
ENSMUSG00000070343,42
ENSMUSG00000040473,42
ENSMUSG00000106547,42
ENSMUSG00000030144,42
ENSMUSG00000104392,42
ENSMUSG00000020399,42
ENSMUSG00000024579,42
ENSMUSG00000025001,42
ENSMUSG00000103670,43
ENSMUSG00000079164,43
ENSMUSG00000084946,43
ENSMUSG00000084797,43
ENSMUSG00000087684,43
ENSMUSG00000065460,43
ENSMUSG00000031376,43
ENSMUSG00000105568,43
ENSMUSG00000056494,43
ENSMUSG00000029032,43
ENSMUSG00000107624,43
ENSMUSG00000047976,43
ENSMUSG00000109108,43
ENSMUSG00000110062,43
ENSMUSG00000085211,43
ENSMUSG00000070084,43
ENSMUSG00000022219,43
ENSMUSG00000052143,43
ENSMUSG00000105140,43
ENSMUSG00000110676,43
ENSMUSG00000039691,43
ENSMUSG00000021298,43
ENSMUSG00000023052,43
ENSMUSG00000097090,43
ENSMUSG00000026536,44
ENSMUSG00000073485,44
ENSMUSG00000084904,44
ENSMUSG00000051517,44
ENSMUSG00000105895,44
ENSMUSG00000085412,44
ENSMUSG00000087658,44
ENSMUSG00000036931,44
ENSMUSG00000035095,44
ENSMUSG00000082286,44
ENSMUSG00000022367,44
ENSMUSG00000022651,44
ENSMUSG00000103046,45
ENSMUSG00000097403,45
ENSMUSG00000029283,45
ENSMUSG00000080935,45
ENSMUSG00000097660,45
ENSMUSG00000019775,45
ENSMUSG00000110669,45
ENSMUSG00000086914,45
ENSMUSG00000085088,45
ENSMUSG00000078139,45
ENSMUSG00000086786,45
ENSMUSG00000042564,45
ENSMUSG00000023036,45
ENSMUSG00000098651,46
ENSMUSG00000075012,46
ENSMUSG00000074987,46
ENSMUSG00000101859,46
ENSMUSG00000074912,46
ENSMUSG00000027318,46
ENSMUSG00000031340,46
ENSMUSG00000085403,46
ENSMUSG00000085269,46
ENSMUSG00000029605,46
ENSMUSG00000105970,46
