Genes,Result
ENSMUSG00000032487,16
ENSMUSG00000006403,16
ENSMUSG00000055926,16
ENSMUSG00000027368,16
ENSMUSG00000027398,16
ENSMUSG00000016255,16
ENSMUSG00000083166,16
ENSMUSG00000082693,16
ENSMUSG00000027832,16
ENSMUSG00000035364,16
ENSMUSG00000105895,16
ENSMUSG00000035262,16
ENSMUSG00000019936,16
ENSMUSG00000110588,16
ENSMUSG00000063556,16
ENSMUSG00000106208,16
ENSMUSG00000054204,16
ENSMUSG00000080928,16
ENSMUSG00000023984,16
ENSMUSG00000073598,16
ENSMUSG00000102531,17
ENSMUSG00000099913,17
ENSMUSG00000102776,17
ENSMUSG00000102704,17
ENSMUSG00000085201,17
ENSMUSG00000088302,17
ENSMUSG00000084113,17
ENSMUSG00000082905,17
ENSMUSG00000025255,17
ENSMUSG00000103423,17
ENSMUSG00000066116,17
ENSMUSG00000087541,17
ENSMUSG00000056735,17
ENSMUSG00000105985,17
ENSMUSG00000047976,17
ENSMUSG00000108447,17
ENSMUSG00000109998,17
ENSMUSG00000081378,17
ENSMUSG00000042812,17
ENSMUSG00000091460,17
ENSMUSG00000097703,17
ENSMUSG00000063704,17
ENSMUSG00000089883,17
ENSMUSG00000073555,17
ENSMUSG00000082895,18
ENSMUSG00000082480,18
ENSMUSG00000074629,18
ENSMUSG00000084131,18
ENSMUSG00000045327,18
ENSMUSG00000085180,18
ENSMUSG00000084260,18
ENSMUSG00000080059,18
ENSMUSG00000093885,18
ENSMUSG00000080836,18
ENSMUSG00000106617,18
ENSMUSG00000106547,18
ENSMUSG00000069972,18
ENSMUSG00000047880,18
ENSMUSG00000078377,18
ENSMUSG00000063586,18
ENSMUSG00000026692,19
ENSMUSG00000082109,19
ENSMUSG00000027939,19
ENSMUSG00000075569,19
ENSMUSG00000096991,19
ENSMUSG00000111875,19
ENSMUSG00000110433,19
ENSMUSG00000084792,19
ENSMUSG00000090273,19
ENSMUSG00000091831,19
ENSMUSG00000100090,19
ENSMUSG00000096699,19
ENSMUSG00000037035,20
ENSMUSG00000042510,20
ENSMUSG00000103711,20
ENSMUSG00000015619,20
ENSMUSG00000015093,20
ENSMUSG00000081892,20
ENSMUSG00000097004,20
ENSMUSG00000053178,20
ENSMUSG00000039257,20
ENSMUSG00000030672,20
ENSMUSG00000037868,20
ENSMUSG00000033730,20
ENSMUSG00000086914,20
ENSMUSG00000055202,20
ENSMUSG00000104476,21
ENSMUSG00000102856,21
ENSMUSG00000026536,21
ENSMUSG00000079627,21
ENSMUSG00000087411,21
ENSMUSG00000105850,21
ENSMUSG00000081113,21
ENSMUSG00000097246,21
ENSMUSG00000108737,21
ENSMUSG00000097974,21
ENSMUSG00000072244,21
ENSMUSG00000110545,21
ENSMUSG00000062380,21
ENSMUSG00000032268,21
ENSMUSG00000070291,21
ENSMUSG00000093080,21
ENSMUSG00000018570,21
ENSMUSG00000034156,21
ENSMUSG00000047988,21
ENSMUSG00000092540,21
ENSMUSG00000025386,21
ENSMUSG00000085442,21
ENSMUSG00000068606,21
ENSMUSG00000033777,22
ENSMUSG00000028125,22
ENSMUSG00000101493,22
ENSMUSG00000045318,22
ENSMUSG00000043614,22
ENSMUSG00000048216,22
ENSMUSG00000030031,22
ENSMUSG00000055978,22
ENSMUSG00000085666,22
ENSMUSG00000003348,22
ENSMUSG00000074171,22
ENSMUSG00000111815,22
ENSMUSG00000090626,22
ENSMUSG00000070282,22
ENSMUSG00000000632,22
ENSMUSG00000091183,22
ENSMUSG00000085337,22
ENSMUSG00000040276,22
ENSMUSG00000024935,22
ENSMUSG00000027335,23
ENSMUSG00000106296,23
ENSMUSG00000054958,23
ENSMUSG00000070577,23
ENSMUSG00000006638,23
ENSMUSG00000000183,23
ENSMUSG00000003752,23
ENSMUSG00000092118,23
ENSMUSG00000087530,23
ENSMUSG00000085282,23
ENSMUSG00000020169,23
ENSMUSG00000031530,23
ENSMUSG00000097536,23
ENSMUSG00000033107,23
ENSMUSG00000102748,23
ENSMUSG00000026090,24
ENSMUSG00000085894,24
ENSMUSG00000081992,24
ENSMUSG00000081400,24
ENSMUSG00000103436,24
ENSMUSG00000081209,24
ENSMUSG00000081603,24
ENSMUSG00000080796,24
ENSMUSG00000082896,24
ENSMUSG00000028678,24
ENSMUSG00000001166,24
ENSMUSG00000086916,24
ENSMUSG00000108461,24
ENSMUSG00000091825,24
ENSMUSG00000090516,24
ENSMUSG00000080904,24
ENSMUSG00000091419,24
ENSMUSG00000091269,24
ENSMUSG00000101828,24
ENSMUSG00000091050,24
ENSMUSG00000079608,24
ENSMUSG00000028360,25
ENSMUSG00000086697,25
ENSMUSG00000072940,25
ENSMUSG00000108366,25
ENSMUSG00000063594,25
ENSMUSG00000060924,25
