Genes,Result
ENSMUSG00000110170,36
ENSMUSG00000056155,36
ENSMUSG00000022034,36
ENSMUSG00000057706,37
ENSMUSG00000079049,37
ENSMUSG00000094410,37
ENSMUSG00000034023,37
ENSMUSG00000039396,37
ENSMUSG00000090026,38
ENSMUSG00000034317,38
ENSMUSG00000091191,38
ENSMUSG00000085174,38
ENSMUSG00000108614,38
ENSMUSG00000027654,38
ENSMUSG00000033676,39
ENSMUSG00000081769,39
ENSMUSG00000035455,39
ENSMUSG00000109429,39
ENSMUSG00000020493,39
ENSMUSG00000091269,39
ENSMUSG00000075014,39
ENSMUSG00000078235,40
ENSMUSG00000086682,40
ENSMUSG00000002055,40
ENSMUSG00000037169,40
ENSMUSG00000097464,40
ENSMUSG00000032584,40
ENSMUSG00000091825,40
ENSMUSG00000026271,40
ENSMUSG00000103261,40
ENSMUSG00000051855,41
ENSMUSG00000083813,41
ENSMUSG00000100084,41
ENSMUSG00000054072,41
ENSMUSG00000039632,41
ENSMUSG00000046916,42
ENSMUSG00000031397,42
ENSMUSG00000045328,42
ENSMUSG00000032254,42
ENSMUSG00000049641,42
ENSMUSG00000044471,42
ENSMUSG00000027379,42
ENSMUSG00000024008,42
ENSMUSG00000014782,42
ENSMUSG00000031444,43
ENSMUSG00000093514,43
ENSMUSG00000022245,43
ENSMUSG00000054115,43
ENSMUSG00000027715,44
ENSMUSG00000093579,44
ENSMUSG00000046378,44
ENSMUSG00000050830,44
ENSMUSG00000043099,44
ENSMUSG00000041117,44
ENSMUSG00000091443,44
ENSMUSG00000099517,44
ENSMUSG00000039114,44
ENSMUSG00000058290,45
ENSMUSG00000089945,45
ENSMUSG00000029123,45
ENSMUSG00000038530,45
ENSMUSG00000043794,45
ENSMUSG00000034906,45
ENSMUSG00000050107,45
ENSMUSG00000042821,45
ENSMUSG00000028629,45
ENSMUSG00000010529,46
ENSMUSG00000082922,46
ENSMUSG00000042377,46
ENSMUSG00000074896,46
ENSMUSG00000048895,46
ENSMUSG00000103423,46
ENSMUSG00000065715,46
ENSMUSG00000086826,46
ENSMUSG00000026729,46
ENSMUSG00000037725,47
ENSMUSG00000040204,47
ENSMUSG00000020808,47
ENSMUSG00000105572,47
ENSMUSG00000051220,47
ENSMUSG00000034648,48
ENSMUSG00000033998,48
ENSMUSG00000033446,48
ENSMUSG00000098600,48
ENSMUSG00000090086,48
ENSMUSG00000028459,48
ENSMUSG00000022548,49
ENSMUSG00000017716,49
ENSMUSG00000023505,49
ENSMUSG00000070960,49
ENSMUSG00000063129,49
ENSMUSG00000040084,49
ENSMUSG00000037474,50
ENSMUSG00000092014,50
ENSMUSG00000098132,50
ENSMUSG00000043340,50
ENSMUSG00000032218,50
ENSMUSG00000001228,51
ENSMUSG00000020897,51
ENSMUSG00000054618,51
ENSMUSG00000003279,51
ENSMUSG00000066682,51
ENSMUSG00000021714,51
ENSMUSG00000054196,52
ENSMUSG00000019301,52
ENSMUSG00000022347,52
ENSMUSG00000083573,52
ENSMUSG00000039187,52
ENSMUSG00000089827,52
ENSMUSG00000084845,52
ENSMUSG00000015812,53
ENSMUSG00000046295,53
ENSMUSG00000035852,53
ENSMUSG00000045231,53
ENSMUSG00000097616,53
ENSMUSG00000005251,53
ENSMUSG00000051498,53
ENSMUSG00000107068,53
ENSMUSG00000036412,53
ENSMUSG00000070336,54
ENSMUSG00000097231,54
ENSMUSG00000063586,54
ENSMUSG00000022385,54
ENSMUSG00000082705,54
ENSMUSG00000044338,55
ENSMUSG00000084911,55
ENSMUSG00000072572,55
ENSMUSG00000025395,55
ENSMUSG00000108037,55
ENSMUSG00000045273,55
ENSMUSG00000042985,55
ENSMUSG00000037544,56
ENSMUSG00000076949,56
ENSMUSG00000054135,56
ENSMUSG00000030867,56
ENSMUSG00000109539,57
ENSMUSG00000105139,57
ENSMUSG00000020914,57
ENSMUSG00000027895,57
ENSMUSG00000032783,57
ENSMUSG00000089646,57
ENSMUSG00000108738,57
ENSMUSG00000102982,58
ENSMUSG00000107653,58
ENSMUSG00000028718,58
ENSMUSG00000029299,58
ENSMUSG00000082480,58
ENSMUSG00000026679,58
ENSMUSG00000029641,59
ENSMUSG00000050914,59
ENSMUSG00000025432,59
ENSMUSG00000095677,59
ENSMUSG00000104156,59
ENSMUSG00000024793,60
ENSMUSG00000044551,60
ENSMUSG00000029727,60
ENSMUSG00000081512,60
ENSMUSG00000034623,60
ENSMUSG00000020178,60
ENSMUSG00000045382,61
ENSMUSG00000104851,61
ENSMUSG00000032514,61
ENSMUSG00000026622,61
ENSMUSG00000019936,61
ENSMUSG00000101859,61
