Genes,Result
ENSMUSG00000098293,13
ENSMUSG00000102970,14
ENSMUSG00000106166,14
ENSMUSG00000028011,14
ENSMUSG00000106197,14
ENSMUSG00000038044,14
ENSMUSG00000052154,14
ENSMUSG00000104904,14
ENSMUSG00000076315,14
ENSMUSG00000078787,14
ENSMUSG00000082922,14
ENSMUSG00000039055,14
ENSMUSG00000085636,14
ENSMUSG00000021631,14
ENSMUSG00000024347,14
ENSMUSG00000103984,15
ENSMUSG00000105139,15
ENSMUSG00000066861,15
ENSMUSG00000085828,15
ENSMUSG00000037628,15
ENSMUSG00000041064,15
ENSMUSG00000021135,15
ENSMUSG00000090223,15
ENSMUSG00000092444,15
ENSMUSG00000002664,15
ENSMUSG00000102959,15
ENSMUSG00000027379,16
ENSMUSG00000098889,16
ENSMUSG00000087424,16
ENSMUSG00000070691,16
ENSMUSG00000066684,16
ENSMUSG00000086873,16
ENSMUSG00000029923,16
ENSMUSG00000093739,16
ENSMUSG00000111318,16
ENSMUSG00000050157,16
ENSMUSG00000110588,16
ENSMUSG00000000782,16
ENSMUSG00000055137,16
ENSMUSG00000100235,16
ENSMUSG00000078995,16
ENSMUSG00000084755,16
ENSMUSG00000073555,16
ENSMUSG00000085201,17
ENSMUSG00000087541,17
ENSMUSG00000105985,17
ENSMUSG00000092035,17
ENSMUSG00000109998,17
ENSMUSG00000108738,17
ENSMUSG00000044287,17
ENSMUSG00000042812,17
ENSMUSG00000054204,17
ENSMUSG00000081512,17
ENSMUSG00000053475,18
ENSMUSG00000079051,18
ENSMUSG00000084839,18
ENSMUSG00000051279,18
ENSMUSG00000073752,18
ENSMUSG00000105156,18
ENSMUSG00000108957,18
ENSMUSG00000109498,18
ENSMUSG00000044362,18
ENSMUSG00000097472,18
ENSMUSG00000087291,18
ENSMUSG00000085882,18
ENSMUSG00000018486,18
ENSMUSG00000086786,18
ENSMUSG00000097292,18
ENSMUSG00000026582,19
ENSMUSG00000026644,19
ENSMUSG00000039521,19
ENSMUSG00000028438,19
ENSMUSG00000028337,19
ENSMUSG00000047182,19
ENSMUSG00000107608,19
ENSMUSG00000098022,19
ENSMUSG00000070527,19
ENSMUSG00000034394,19
ENSMUSG00000020399,19
ENSMUSG00000084145,19
ENSMUSG00000018907,19
ENSMUSG00000003882,19
ENSMUSG00000079467,19
ENSMUSG00000103670,20
ENSMUSG00000050447,20
ENSMUSG00000084781,20
ENSMUSG00000058812,20
ENSMUSG00000027524,20
ENSMUSG00000104737,20
ENSMUSG00000097877,20
ENSMUSG00000109455,20
ENSMUSG00000003227,20
ENSMUSG00000039431,20
ENSMUSG00000022041,20
ENSMUSG00000087253,20
ENSMUSG00000032691,20
ENSMUSG00000041817,20
ENSMUSG00000020639,20
ENSMUSG00000090582,20
ENSMUSG00000097417,20
ENSMUSG00000097221,20
ENSMUSG00000043501,20
ENSMUSG00000022510,20
ENSMUSG00000097125,20
ENSMUSG00000051486,20
ENSMUSG00000090673,20
ENSMUSG00000097970,21
ENSMUSG00000005233,21
ENSMUSG00000028488,21
ENSMUSG00000105970,21
ENSMUSG00000046733,21
ENSMUSG00000110060,21
ENSMUSG00000109401,21
ENSMUSG00000050663,21
ENSMUSG00000087502,21
ENSMUSG00000103593,21
ENSMUSG00000031722,21
ENSMUSG00000018500,21
ENSMUSG00000055134,21
ENSMUSG00000085072,21
ENSMUSG00000097470,21
ENSMUSG00000021886,21
ENSMUSG00000021070,21
ENSMUSG00000036322,21
ENSMUSG00000060336,22
ENSMUSG00000028859,22
ENSMUSG00000085227,22
ENSMUSG00000072940,22
ENSMUSG00000041596,22
ENSMUSG00000097246,22
ENSMUSG00000110611,22
ENSMUSG00000038379,22
ENSMUSG00000097777,22
ENSMUSG00000097258,22
ENSMUSG00000103103,22
ENSMUSG00000025646,22
ENSMUSG00000020330,22
ENSMUSG00000091191,22
ENSMUSG00000050107,22
ENSMUSG00000041431,22
ENSMUSG00000022595,22
ENSMUSG00000073640,22
ENSMUSG00000024268,22
ENSMUSG00000050370,22
ENSMUSG00000100213,23
ENSMUSG00000081648,23
ENSMUSG00000040264,23
ENSMUSG00000028845,23
ENSMUSG00000105429,23
ENSMUSG00000029204,23
ENSMUSG00000056735,23
ENSMUSG00000034538,23
ENSMUSG00000046408,23
ENSMUSG00000102593,23
ENSMUSG00000095385,23
ENSMUSG00000111605,23
ENSMUSG00000097703,23
ENSMUSG00000097788,23
ENSMUSG00000024459,23
ENSMUSG00000024388,23
ENSMUSG00000068606,23
ENSMUSG00000058620,24
ENSMUSG00000031351,24
ENSMUSG00000028678,24
ENSMUSG00000085517,24
ENSMUSG00000094320,24
ENSMUSG00000046607,24
ENSMUSG00000004328,24
ENSMUSG00000109136,24
ENSMUSG00000109367,24
ENSMUSG00000070369,24
ENSMUSG00000035681,24
ENSMUSG00000054978,24
ENSMUSG00000000632,24
ENSMUSG00000072066,24
ENSMUSG00000091419,24
ENSMUSG00000101828,24
ENSMUSG00000063383,24
ENSMUSG00000085894,25
ENSMUSG00000101122,25
ENSMUSG00000103436,25
ENSMUSG00000082896,25
ENSMUSG00000104973,25
ENSMUSG00000070610,25
ENSMUSG00000107201,25
ENSMUSG00000001166,25
ENSMUSG00000029414,25
ENSMUSG00000108461,25
ENSMUSG00000004360,25
ENSMUSG00000097309,25
ENSMUSG00000074171,25
ENSMUSG00000102151,25
ENSMUSG00000090516,25
ENSMUSG00000017146,25
ENSMUSG00000051378,25
ENSMUSG00000021572,25
ENSMUSG00000087440,26
ENSMUSG00000106296,26
ENSMUSG00000046818,26
ENSMUSG00000030031,26
ENSMUSG00000000183,26
ENSMUSG00000030486,26
ENSMUSG00000055489,26
ENSMUSG00000090622,26
ENSMUSG00000003348,26
ENSMUSG00000032091,26
ENSMUSG00000086725,26
ENSMUSG00000058331,26
ENSMUSG00000069743,26
ENSMUSG00000036412,26
ENSMUSG00000041482,26
ENSMUSG00000051220,27
ENSMUSG00000033777,27
ENSMUSG00000097737,27
ENSMUSG00000038729,27
ENSMUSG00000101493,27
ENSMUSG00000045318,27
ENSMUSG00000029510,27
ENSMUSG00000107997,27
ENSMUSG00000030283,27
ENSMUSG00000055978,27
ENSMUSG00000070526,27
ENSMUSG00000110317,27
ENSMUSG00000097358,27
ENSMUSG00000035455,27
ENSMUSG00000054931,27
ENSMUSG00000051037,27
